gameid,date,dh,ejectee,ejecteename,team,job,umpire,umpirename,inning,reason
KCA197206090,06/09/1972,0,munst101,Thurman Munson,NYA,P,lucir901,Ron Luciano,7,Call on Field
PHI197206100,06/10/1972,0,moned101,Don Money,PHI,P,wendh901,Harry Wendelstedt,1,Call on Field
SFN197206112,06/11/1972,2,fox-c101,Charlie Fox,SFN,M,davis901,Satch Davidson,4,Call on Field
SFN197206112,06/11/1972,2,speic001,Chris Speier,SFN,P,davis901,Satch Davidson,4,Call on Field
BOS197206140,06/14/1972,0,pinil001,Lou Piniella,KCA,P,mccol901,Larry McCoy,7,Call on Field
MIL197206180,06/18/1972,0,kirke102,Ed Kirkpatrick,KCA,P,nappl901,Larry Napp,6,Balls and Strikes
OAK197206200,06/20/1972,0,willd104,Dick Williams,OAK,M,evanj901,Jim Evans,7,Call on Field
OAK197206200,06/20/1972,0,jackr001,Reggie Jackson,OAK,P,evanj901,Jim Evans,8,Call on Field
CIN197206220,06/22/1972,0,andes101,Sparky Anderson,CIN,M,craws901,Shag Crawford,8,Balls and Strikes
MIL197206240,06/24/1972,0,harpt101,Tommy Harper,BOS,P,morgh901,Hank Morgenweck,7,Call on Field
MIL197206240,06/24/1972,0,kaske101,Eddie Kasko,BOS,M,morgh901,Hank Morgenweck,7,Call on Field
MIL197206240,06/24/1972,0,siebs101,Sonny Siebert,BOS,P,morgh901,Hank Morgenweck,7,Balls and Strikes
MON197206250,06/25/1972,0,maucg101,Gene Mauch,MON,M,steld901,Dick Stello,4,Fighting
MON197206250,06/25/1972,0,mcane101,Ernie McAnally,MON,P,steld901,Dick Stello,5,Aggression
SLN197206272,06/27/1972,2,torrj101,Joe Torre,SLN,P,weyel901,Lee Weyer,3,Call on Field
TEX197206270,06/27/1972,0,epstm101,Mike Epstein,OAK,P,honoj901,Jim Honochick,4,Call on Field
CHA197206292,06/29/1972,2,tannc101,Chuck Tanner,CHA,M,goetr901,Russ Goetz,5,Call on Field
BOS197207010,07/01/1972,0,kaske101,Eddie Kasko,BOS,M,chyln901,Nestor Chylak,5,Call on Field
HOU197207040,07/04/1972,0,walkh102,Harry Walker,HOU,M,mcshj901,John McSherry,9,Other
NYN197207041,07/04/1972,1,zimmd101,Don Zimmer,SDN,M,weyel901,Lee Weyer,3,Balls and Strikes
BOS197207050,07/05/1972,0,rignb101,Bill Rigney,MIN,M,malog901,George Maloney,7,Call on Field
PHI197207060,07/06/1972,0,luccf801,Frank Lucchesi,PHI,M,colon901,Nick Colosi,8,Other
PHI197207060,07/06/1972,0,branb102,Bucky Brandon,PHI,P,colon901,Nick Colosi,8,Other
CAL197207070,07/07/1972,0,gaglp101,Phil Gagliano,BOS,P,ricej901,John Rice,9,Call on Field
CAL197207070,07/07/1972,0,kaske101,Eddie Kasko,BOS,M,ricej901,John Rice,9,Call on Field
CIN197207091,07/09/1972,1,aguih101,Hank Aguirre,CHN,C,pelec901,Chris Pelekoudas,8,Call on Field
CIN197207091,07/09/1972,1,reisp101,Pete Reiser,CHN,C,dalej901,Jerry Dale,8,Call on Field
BAL197207110,07/11/1972,0,weave801,Earl Weaver,BAL,M,dimul901,Lou DiMuro,9,Call on Field
DET197207120,07/12/1972,0,colej102,Joe Coleman,DET,P,chyln901,Nestor Chylak,8,Harrassment
CHN197207140,07/14/1972,0,pappm101,Milt Pappas,CHN,P,pryop901,Paul Pryor,6,Balls and Strikes
CHN197207140,07/14/1972,0,pepij101,Joe Pepitone,CHN,P,varge901,Ed Vargo,6,Call on Field
DET197207140,07/14/1972,0,nortj101,Jim Northrup,DET,P,kunkb101,Bill Kunkel,6,Call on Field
TEX197207170,07/17/1972,0,blaip101,Paul Blair,BAL,P,denkd901,Don Denkinger,9,Balls and Strikes
BOS197207221,07/22/1972,1,jackr001,Reggie Jackson,OAK,P,mccol901,Larry McCoy,5,Call on Field
KCA197207220,07/22/1972,0,etcha101,Andy Etchebarren,BAL,P,hallb901,Bill Haller,8,Balls and Strikes
MIL197207220,07/22/1972,0,carer001,Rod Carew,MIN,P,sprim901,Marty Springstead,4,Call on Field
SDN197207220,07/22/1972,0,folit001,Tim Foli,MON,P,froeb901,Bruce Froemming,1,Harrassment
HOU197207230,07/23/1972,0,walkh102,Harry Walker,HOU,M,olsea901,Andy Olsen,9,Balls and Strikes
CHA197207272,07/27/1972,2,morar102,Rich Morales,CHA,P,flahr901,Red Flaherty,6,Call on Field
NYA197207270,07/27/1972,0,smitr101,Reggie Smith,BOS,P,phild901,Dave Phillips,7,Call on Field
BAL197207280,07/28/1972,0,asprk101,Ken Aspromonte,CLE,M,honoj901,Jim Honochick,9,Call on Field
MIL197207290,07/29/1972,0,crand102,Del Crandall,MIL,M,odomj901,Jim Odom,4,Balls and Strikes
CHN197207302,07/30/1972,2,bensv101,Vern Benson,SLN,C,pelec901,Chris Pelekoudas,8,Balls and Strikes
HOU197207301,07/30/1972,1,gastc101,Cito Gaston,SDN,P,lands901,Stan Landes,7,Balls and Strikes
HOU197207301,07/30/1972,1,raded103,Doug Rader,HOU,P,lands901,Stan Landes,8,Call on Field
HOU197207301,07/30/1972,1,helmt101,Tommy Helms,HOU,P,froeb901,Bruce Froemming,X,Call on Field
CHA197208020,08/02/1972,0,riced101,Del Rice,CAL,M,anthm901,Merle Anthony,8,Call on Field
OAK197208020,08/02/1972,0,kirke102,Ed Kirkpatrick,KCA,P,sprim901,Marty Springstead,2,Fighting
OAK197208020,08/02/1972,0,bands101,Sal Bando,OAK,P,sprim901,Marty Springstead,2,Fighting
CIN197208050,08/05/1972,0,harrl101,Lum Harris,ATL,M,steld901,Dick Stello,8,Other
MON197208061,08/06/1972,1,maucg101,Gene Mauch,MON,M,engeb901,Bob Engel,3,Balls and Strikes
MIN197208070,08/07/1972,0,fox-n101,Nellie Fox,TEX,C,ricej901,John Rice,1,Call on Field
BAL197208122,08/12/1972,2,lenhd101,Don Lenhardt,BOS,C,barnl901,Larry Barnett,8,Call on Field
CAL197208120,08/12/1972,0,riced101,Del Rice,CAL,M,nappl901,Larry Napp,3,Call on Field
KCA197208160,08/16/1972,0,pinil001,Lou Piniella,KCA,P,anthm901,Merle Anthony,6,Call on Field
