gameid,date,dh,ejectee,ejecteename,team,job,umpire,umpirename,inning,reason
PIT189308102,08/10/1893,2,browt102,Tom Brown,LS3,P,powec902,Charles Power,6,Other
LS3189704240,04/24/1897,0,burkj101,Jesse Burkett,CL4,P,mcdes101,Sandy McDermott,1,Harrassment
LS3189704240,04/24/1897,0,oconj104,Jack O'Connor,CL4,P,mcdes101,Sandy McDermott,9,Harrassment
WSN189706110,06/11/1897,0,crosm101,Monte Cross,SLN,P,sherj901,Jack Sheridan,4,Call on Field
PIT189706240,06/24/1897,0,crosm101,Monte Cross,SLN,P,sherj901,Jack Sheridan,X,Call on Field
PHI189708120,08/12/1897,0,clarb103,Boileryard Clarke,BLN,P,kellk102,Kick Kelly,7,Other
PHI189708120,08/12/1897,0,kellj106,Joe Kelley,BLN,P,kellk102,Kick Kelly,7,Other
PHI189708120,08/12/1897,0,obrit101,Tom O'Brien,BLN,P,kellk102,Kick Kelly,8,Call on Field
BSN190007190,07/19/1900,0,greed103,Danny Green,CHN,P,odayh101,Hank O'Day,7,Call on Field
NY1190007310,07/31/1900,0,dextc101,Charlie Dexter,CHN,P,odayh101,Hank O'Day,1,Call on Field
NY1190008020,08/02/1900,0,davig102,George Davis,NY1,M,terra101,Adonis Terry,6,Call on Field
PHA190104260,04/26/1901,0,everb101,Bill Everitt,WS1,P,haskj901,Jack Haskell,3,Call on Field
PHI190104270,04/27/1901,0,davig102,George Davis,NY1,M,odayh101,Hank O'Day,5,Call on Field
PHI190104270,04/27/1901,0,smita105,Aleck Smith,NY1,P,odayh101,Hank O'Day,5,Call on Field
CHA190104300,04/30/1901,0,buelf101,Fritz Buelow,DET,P,connt901,Tommy Connolly,5,Balls and Strikes
MLA190105030,05/03/1901,0,burkj104,Jimmy Burke,MLA,P,connt901,Tommy Connolly,2,Balls and Strikes
MLA190105030,05/03/1901,0,malob101,Billy Maloney,MLA,P,connt901,Tommy Connolly,4,Balls and Strikes
MLA190105050,05/05/1901,0,grifc101,Clark Griffith,CHA,M,connt901,Tommy Connolly,4,Balls and Strikes
CHN190105070,05/07/1901,0,chanf101,Frank Chance,CHN,P,dwyef101,Frank Dwyer,7,Call on Field
CHN190105070,05/07/1901,0,doylj103,Jack Doyle,CHN,P,dwyef101,Frank Dwyer,4,Other
PHA190105070,05/07/1901,0,mcgrj101,John McGraw,BLA,M,haskj901,Jack Haskell,6,Balls and Strikes
PHA190105070,05/07/1901,0,schmc101,Crazy Schmit,BLA,P,haskj901,Jack Haskell,6,Balls and Strikes
CLE190105080,05/08/1901,0,grifc101,Clark Griffith,CHA,M,sherj901,Jack Sheridan,5,Balls and Strikes
CLE190105080,05/08/1901,0,lachc101,Candy LaChance,CLE,P,sherj901,Jack Sheridan,1,Balls and Strikes
BOS190105090,05/09/1901,0,lajon101,Nap Lajoie,PHA,P,haskj901,Jack Haskell,1,Other
MLA190105100,05/10/1901,0,duffh101,Hugh Duffy,MLA,M,connt901,Tommy Connolly,7,Call on Field
BOS190105110,05/11/1901,0,freeb102,Buck Freeman,BOS,P,haskj901,Jack Haskell,2,Call on Field
NY1190105130,05/13/1901,0,kellj106,Joe Kelley,BRO,P,odayh101,Hank O'Day,9,Other
BLA190105150,05/15/1901,0,mcgrj101,John McGraw,BLA,M,cantj801,Joe Cantillon,8,Balls and Strikes
CHA190105160,05/16/1901,0,duffh101,Hugh Duffy,MLA,P,connt901,Tommy Connolly,1,Call on Field
NY1190105170,05/17/1901,0,davig102,George Davis,NY1,M,nashb101,Billy Nash,5,Call on Field
NY1190105170,05/17/1901,0,tayld102,Dummy Taylor,NY1,P,nashb101,Billy Nash,6,Balls and Strikes
NY1190105170,05/17/1901,0,warnj103,Jack Warner,NY1,P,nashb101,Billy Nash,5,Call on Field
WS1190105200,05/20/1901,0,gradm101,Mike Grady,WS1,P,cantj801,Joe Cantillon,8,Call on Field
CHA190105270,05/27/1901,0,mcgrj101,John McGraw,BLA,M,manna901,Al Mannassau,2,Balls and Strikes
CHA190105301,05/30/1901,1,shugf101,Frank Shugart,CHA,P,connt901,Tommy Connolly,8,Call on Field
DET190105310,05/31/1901,0,howeh101,Harry Howell,BLA,P,sherj901,Jack Sheridan,9,Call on Field
DET190105310,05/31/1901,0,robiw101,Wilbert Robinson,BLA,P,sherj901,Jack Sheridan,9,Call on Field
PIT190106010,06/01/1901,0,leact101,Tommy Leach,PIT,P,cunnb103,Bert Cunningham,9,Call on Field
PIT190106010,06/01/1901,0,ritcc101,Claude Ritchey,PIT,P,cunnb103,Bert Cunningham,9,Call on Field
MLA190106020,06/02/1901,0,collj103,Jimmy Collins,BOS,M,haskj901,Jack Haskell,5,Call on Field
MLA190106020,06/02/1901,0,freeb102,Buck Freeman,BOS,P,haskj901,Jack Haskell,5,Call on Field
CIN190106040,06/04/1901,0,shecj101,Jimmy Sheckard,BRO,P,cunnb103,Bert Cunningham,3,Call on Field
BLA190106120,06/12/1901,0,grifc101,Clark Griffith,CHA,M,sherj901,Jack Sheridan,8,Balls and Strikes
CHN190106120,06/12/1901,0,dahlb102,Bill Dahlen,BRO,P,cunnb103,Bert Cunningham,5,Call on Field
CHN190106120,06/12/1901,0,mcgud101,Deacon McGuire,BRO,P,cunnb103,Bert Cunningham,5,Call on Field
CIN190106120,06/12/1901,0,kittm101,Malachi Kittridge,BSN,P,odayh101,Hank O'Day,X,Call on Field
BLA190106130,06/13/1901,0,mcgij101,Joe McGinnity,BLA,P,sherj901,Jack Sheridan,5,Call on Field
BLA190106140,06/14/1901,0,mcgij101,Joe McGinnity,BLA,P,sherj901,Jack Sheridan,6,Balls and Strikes
BOS190106140,06/14/1901,0,freeb102,Buck Freeman,BOS,P,manna901,Al Mannassau,2,Call on Field
CHN190106160,06/16/1901,0,greed103,Danny Green,CHN,P,cunnb103,Bert Cunningham,4,Call on Field
CHN190106160,06/16/1901,0,warnj103,Jack Warner,NY1,P,cunnb103,Bert Cunningham,2,Call on Field
BOS190106172,06/17/1901,2,ferrh101,Hobe Ferris,BOS,P,manna901,Al Mannassau,4,Call on Field
BOS190106180,06/18/1901,0,grifc101,Clark Griffith,CHA,M,manna901,Al Mannassau,6,Call on Field
BOS190106190,06/19/1901,0,calln101,Nixey Callahan,CHA,P,manna901,Al Mannassau,6,Call on Field
WS1190106190,06/19/1901,0,everb101,Bill Everitt,WS1,P,haskj901,Jack Haskell,7,Balls and Strikes
WS1190106210,06/21/1901,0,everb101,Bill Everitt,WS1,P,haskj901,Jack Haskell,3,Call on Field
BRO190106260,06/26/1901,0,wagnh101,Honus Wagner,PIT,P,odayh101,Hank O'Day,6,Balls and Strikes
WS1190106280,06/28/1901,0,freeb102,Buck Freeman,BOS,P,sherj901,Jack Sheridan,7,Call on Field
BLA190106290,06/29/1901,0,crosl101,Lave Cross,PHA,P,manna901,Al Mannassau,6,Call on Field
BLA190106290,06/29/1901,0,piatw101,Wiley Piatt,PHA,P,manna901,Al Mannassau,6,Call on Field
WS1190106290,06/29/1901,0,stahc101,Chick Stahl,BOS,P,sherj901,Jack Sheridan,1,Call on Field
BRO190107010,07/01/1901,0,burkj101,Jesse Burkett,SLN,P,snydp101,Pop Snyder,5,Call on Field
PIT190107050,07/05/1901,0,davig102,George Davis,NY1,M,colgh901,Harry Colgan,1,Call on Field
CHN190107090,07/09/1901,0,chanf101,Frank Chance,CHN,P,cunnb103,Bert Cunningham,4,Call on Field
CHN190107090,07/09/1901,0,dextc101,Charlie Dexter,CHN,P,cunnb103,Bert Cunningham,7,Harrassment
BOS190107110,07/11/1901,0,freeb102,Buck Freeman,BOS,P,connt901,Tommy Connolly,5,Other
DET190107130,07/13/1901,0,dowlp101,Pete Dowling,CLE,P,haskj901,Jack Haskell,7,Balls and Strikes
DET190107130,07/13/1901,0,holmd101,Ducky Holmes,DET,P,haskj901,Jack Haskell,5,Call on Field
PIT190107130,07/13/1901,0,wagnh101,Honus Wagner,PIT,P,emslb101,Bob Emslie,8,Call on Field
DET190107160,07/16/1901,0,clarb103,Boileryard Clarke,WS1,P,haskj901,Jack Haskell,7,Other
SLN190107260,07/26/1901,0,murpe103,Ed Murphy,SLN,P,odayh101,Hank O'Day,3,Fighting
CHA190108030,08/03/1901,0,grifc101,Clark Griffith,CHA,M,sherj901,Jack Sheridan,4,Call on Field
BLA190108052,08/05/1901,2,hartb104,Jimmy Hart,BLA,P,haskj901,Jack Haskell,2,Call on Field
NY1190108051,08/05/1901,1,selbk101,Kip Selbach,NY1,P,dwyef101,Frank Dwyer,9,Call on Field
DET190108070,08/07/1901,0,grifc101,Clark Griffith,CHA,M,sherj901,Jack Sheridan,7,Call on Field
DET190108070,08/07/1901,0,merts101,Sam Mertes,CHA,P,sherj901,Jack Sheridan,7,Call on Field
DET190108070,08/07/1901,0,buelf101,Fritz Buelow,DET,P,sherj901,Jack Sheridan,4,Harrassment
DET190108080,08/08/1901,0,hartf101,Fred Hartman,CHA,P,sherj901,Jack Sheridan,1,Call on Field
DET190108090,08/09/1901,0,grifc101,Clark Griffith,CHA,M,sherj901,Jack Sheridan,4,Call on Field
WS1190108101,08/10/1901,1,lajon101,Nap Lajoie,PHA,P,connt901,Tommy Connolly,7,Call on Field
BLA190108150,08/15/1901,0,mcgrj101,John McGraw,BLA,M,connt901,Tommy Connolly,9,Call on Field
PHA190108171,08/17/1901,1,donaj103,Jiggs Donahue,MLA,P,sherj901,Jack Sheridan,5,Call on Field
WS1190108190,08/19/1901,0,burkj104,Jimmy Burke,CHA,P,haskj901,Jack Haskell,3,Balls and Strikes
WS1190108190,08/19/1901,0,cougb101,Bill Coughlin,WS1,P,haskj901,Jack Haskell,3,Balls and Strikes
WS1190108210,08/21/1901,0,katoj101,Jack Katoll,CHA,P,haskj901,Jack Haskell,4,Call on Field
WS1190108210,08/21/1901,0,shugf101,Frank Shugart,CHA,P,haskj901,Jack Haskell,4,Call on Field
BRO190108271,08/27/1901,1,slagj102,Jimmy Slagle,BSN,P,emslb101,Bob Emslie,X,Call on Field
NY1190109061,09/06/1901,1,oconj104,Jack O'Connor,PIT,P,snydp101,Pop Snyder,4,Harrassment
BRO190109110,09/11/1901,0,leact101,Tommy Leach,PIT,P,snydp101,Pop Snyder,4,Call on Field
BOS190109240,09/24/1901,0,merts101,Sam Mertes,CHA,P,connt901,Tommy Connolly,2,Balls and Strikes
CIN190204190,04/19/1902,0,chanf101,Frank Chance,CHN,P,emslb101,Bob Emslie,7,Balls and Strikes
BRO190204250,04/25/1902,0,doylj103,Jack Doyle,NY1,P,odayh101,Hank O'Day,1,Call on Field
SLA190204260,04/26/1902,0,bonnf101,Frank Bonner,CLE,P,carub101,Bob Caruthers,6,Call on Field
SLA190204290,04/29/1902,0,buelf101,Fritz Buelow,DET,P,carub101,Bob Caruthers,6,Call on Field
SLA190204290,04/29/1902,0,burkj101,Jesse Burkett,SLA,P,carub101,Bob Caruthers,6,Balls and Strikes
SLA190204290,04/29/1902,0,paddd102,Dick Padden,SLA,P,carub101,Bob Caruthers,6,Balls and Strikes
BLA190205010,05/01/1902,0,mcgrj101,John McGraw,BLA,M,sherj901,Jack Sheridan,9,Call on Field
BOS190205020,05/02/1902,0,kellj106,Joe Kelley,BLA,P,sherj901,Jack Sheridan,2,Call on Field
SLA190205030,05/03/1902,0,grifc101,Clark Griffith,CHA,M,carub101,Bob Caruthers,5,Call on Field
NY1190205050,05/05/1902,0,browg102,George Browne,PHI,P,powec902,Charles Power,3,Call on Field
CIN190205060,05/06/1902,0,leact101,Tommy Leach,PIT,P,emslb101,Bob Emslie,3,Call on Field
CLE190205060,05/06/1902,0,bonnf101,Frank Bonner,CLE,P,carub101,Bob Caruthers,3,Call on Field
CIN190205070,05/07/1902,0,magog101,George Magoon,CIN,P,browt102,Tom Brown,6,Call on Field
PIT190205070,05/07/1902,0,shecj101,Jimmy Sheckard,BRO,P,odayh101,Hank O'Day,8,Call on Field
CLE190205090,05/09/1902,0,bradb102,Bill Bradley,CLE,P,carub101,Bob Caruthers,2,Call on Field
PHA190205090,05/09/1902,0,crosm101,Monte Cross,PHA,P,olous901,Silk O'Loughlin,6,Call on Field
PIT190205100,05/10/1902,0,keelw101,Willie Keeler,BRO,P,odayh101,Hank O'Day,4,Call on Field
CIN190205130,05/13/1902,0,thomr101,Roy Thomas,PHI,P,powec902,Charles Power,5,Call on Field
DET190205130,05/13/1902,0,grifc101,Clark Griffith,CHA,M,johnj901,Jim Johnstone,4,Call on Field
CHN190205140,05/14/1902,0,dahlb102,Bill Dahlen,BRO,P,emslb101,Bob Emslie,4,Call on Field
CIN190205150,05/15/1902,0,dougk101,Klondike Douglass,PHI,P,powec902,Charles Power,6,Call on Field
PIT190205150,05/15/1902,0,tennf102,Fred Tenney,BSN,P,odayh101,Hank O'Day,8,Fighting
PIT190205150,05/15/1902,0,clarf101,Fred Clarke,PIT,M,odayh101,Hank O'Day,8,Fighting
BOS190205160,05/16/1902,0,ferrh101,Hobe Ferris,BOS,P,carub101,Bob Caruthers,4,Call on Field
CHA190205170,05/17/1902,0,paddd102,Dick Padden,SLA,P,johnj901,Jim Johnstone,1,Call on Field
SLN190205180,05/18/1902,0,dahlb102,Bill Dahlen,BRO,P,powec902,Charles Power,1,Call on Field
SLN190205180,05/18/1902,0,shecj101,Jimmy Sheckard,BRO,P,powec902,Charles Power,1,Call on Field
SLN190205180,05/18/1902,0,wickb101,Bob Wicker,SLN,P,powec902,Charles Power,7,Balls and Strikes
BLA190205210,05/21/1902,0,kellj106,Joe Kelley,BLA,P,olous901,Silk O'Loughlin,7,Call on Field
BOS190205210,05/21/1902,0,merts101,Sam Mertes,CHA,P,johnj901,Jim Johnstone,4,Balls and Strikes
PIT190205210,05/21/1902,0,tayld102,Dummy Taylor,NY1,P,emslb101,Bob Emslie,7,Balls and Strikes
BLA190205230,05/23/1902,0,mcgrj101,John McGraw,BLA,M,olous901,Silk O'Loughlin,7,Call on Field
BLA190205240,05/24/1902,0,kellj106,Joe Kelley,BLA,P,olous901,Silk O'Loughlin,3,Call on Field
BLA190205270,05/27/1902,0,bresr102,Roger Bresnahan,BLA,P,carub101,Bob Caruthers,1,Call on Field
BLA190205290,05/29/1902,0,grifc101,Clark Griffith,CHA,M,carub101,Bob Caruthers,2,Call on Field
BLA190206040,06/04/1902,0,harpj102,Jack Harper,SLA,P,carub101,Bob Caruthers,9,Call on Field
CLE190206050,06/05/1902,0,collj103,Jimmy Collins,BOS,M,johnj901,Jim Johnstone,2,Call on Field
WS1190206050,06/05/1902,0,delae101,Ed Delahanty,WS1,P,sherj901,Jack Sheridan,5,Call on Field
BRO190206100,06/10/1902,0,dolac101,Cozy Dolan,BRO,P,odayh101,Hank O'Day,8,Call on Field
SLA190206100,06/10/1902,0,paddd102,Dick Padden,SLA,P,connt901,Tommy Connolly,5,Call on Field
BRO190206130,06/13/1902,0,kitsf101,Frank Kitson,BRO,P,odayh101,Hank O'Day,6,Balls and Strikes
DET190206130,06/13/1902,0,bresr102,Roger Bresnahan,BLA,P,sherj901,Jack Sheridan,3,Balls and Strikes
SLA190206130,06/13/1902,0,wolvh101,Harry Wolverton,WS1,P,connt901,Tommy Connolly,9,Call on Field
SLA190206180,06/18/1902,0,sugdj101,Joe Sugden,SLA,P,connt901,Tommy Connolly,2,Call on Field
DET190206200,06/20/1902,0,dillp103,Pop Dillon,DET,P,johnj901,Jim Johnstone,5,Call on Field
DET190206210,06/21/1902,0,elbek101,Kid Elberfeld,DET,P,johnj901,Jim Johnstone,9,Call on Field
DET190206220,06/22/1902,0,harld101,Dick Harley,DET,P,johnj901,Jim Johnstone,4,Call on Field
CHN190206230,06/23/1902,0,tinkj101,Joe Tinker,CHN,P,odayh101,Hank O'Day,4,Fighting
CHN190206230,06/23/1902,0,conrw101,Wid Conroy,PIT,P,odayh101,Hank O'Day,4,Fighting
DET190206240,06/24/1902,0,buelf101,Fritz Buelow,DET,P,olous901,Silk O'Loughlin,8,Call on Field
WS1190206240,06/24/1902,0,collj103,Jimmy Collins,BOS,M,carub101,Bob Caruthers,4,Call on Field
PHI190206250,06/25/1902,0,browg102,George Browne,PHI,P,emslb101,Bob Emslie,6,Balls and Strikes
BLA190206280,06/28/1902,0,mcgrj101,John McGraw,BLA,M,connt901,Tommy Connolly,8,Call on Field
SLA190206301,06/30/1902,1,burkj101,Jesse Burkett,SLA,P,sherj901,Jack Sheridan,1,Call on Field
SLN190206301,06/30/1902,1,schag101,Germany Schaefer,CHN,P,browt102,Tom Brown,8,Call on Field
DET190207010,07/01/1902,0,gleak101,Kid Gleason,DET,P,olous901,Silk O'Loughlin,9,Call on Field
PHA190207020,07/02/1902,0,gilbb103,Billy Gilbert,BLA,P,carub101,Bob Caruthers,6,Call on Field
SLA190207022,07/02/1902,2,greed103,Danny Green,CHA,P,sherj901,Jack Sheridan,1,Call on Field
SLA190207030,07/03/1902,0,paddd102,Dick Padden,SLA,P,sherj901,Jack Sheridan,7,Call on Field
BOS190207070,07/07/1902,0,davih101,Harry Davis,PHA,P,connt901,Tommy Connolly,9,Call on Field
CLE190207070,07/07/1902,0,grifc101,Clark Griffith,CHA,M,sherj901,Jack Sheridan,6,Balls and Strikes
CLE190207080,07/08/1902,0,grifc101,Clark Griffith,CHA,M,sherj901,Jack Sheridan,5,Call on Field
SLA190207081,07/08/1902,1,burkj101,Jesse Burkett,SLA,P,olous901,Silk O'Loughlin,3,Call on Field
SLN190207081,07/08/1902,1,brasr101,Roy Brashear,SLN,P,odayh101,Hank O'Day,6,Call on Field
WS1190207110,07/11/1902,0,gilbb103,Billy Gilbert,BLA,P,carub101,Bob Caruthers,7,Call on Field
WS1190207110,07/11/1902,0,kellj106,Joe Kelley,BLA,P,carub101,Bob Caruthers,6,Call on Field
CHA190207120,07/12/1902,0,hempc101,Charlie Hemphill,SLA,P,olous901,Silk O'Loughlin,5,Call on Field
CHA190207132,07/13/1902,2,paddd102,Dick Padden,SLA,P,olous901,Silk O'Loughlin,5,Call on Field
CIN190207140,07/14/1902,0,jonej105,Jim Jones,NY1,P,powec902,Charles Power,3,Call on Field
CIN190207140,07/14/1902,0,ohagh101,Hal O'Hagan,NY1,P,powec902,Charles Power,8,Harrassment
SLN190207230,07/23/1902,0,wagnh101,Honus Wagner,PIT,P,browt102,Tom Brown,8,Call on Field
BLA190207280,07/28/1902,0,lajon101,Nap Lajoie,CLE,P,johnj901,Jim Johnstone,1,Harrassment
NY1190208050,08/05/1902,0,leact101,Tommy Leach,PIT,P,emslb101,Bob Emslie,6,Call on Field
SLA190208050,08/05/1902,0,smita105,Aleck Smith,BLA,P,carub101,Bob Caruthers,8,Call on Field
NY1190208060,08/06/1902,0,jonej105,Jim Jones,NY1,P,emslb101,Bob Emslie,5,Balls and Strikes
PHI190208070,08/07/1902,0,dooir101,Red Dooin,PHI,P,odayh101,Hank O'Day,5,Balls and Strikes
PHI190208070,08/07/1902,0,smith104,Harry Smith,PIT,P,odayh101,Hank O'Day,5,Balls and Strikes
PHI190208090,08/09/1902,0,tannj101,Jesse Tannehill,PIT,P,odayh101,Hank O'Day,8,Harrassment
DET190208100,08/10/1902,0,elbek101,Kid Elberfeld,DET,P,connt901,Tommy Connolly,1,Call on Field
BRO190208130,08/13/1902,0,loweb101,Bobby Lowe,CHN,P,browt102,Tom Brown,8,Call on Field
NY1190208132,08/13/1902,2,corct101,Tommy Corcoran,CIN,P,odayh101,Hank O'Day,2,Call on Field
BOS190208150,08/15/1902,0,grifc101,Clark Griffith,CHA,M,olous901,Silk O'Loughlin,9,Call on Field
WS1190208151,08/15/1902,1,kahom101,Mike Kahoe,SLA,P,johnj901,Jim Johnstone,5,Call on Field
BLA190208210,08/21/1902,0,cased101,Doc Casey,DET,P,connt901,Tommy Connolly,3,Call on Field
WS1190208210,08/21/1902,0,grifc101,Clark Griffith,CHA,M,johnj901,Jim Johnstone,1,Call on Field
WS1190208230,08/23/1902,0,harld101,Dick Harley,DET,P,carub101,Bob Caruthers,1,Call on Field
PIT190208250,08/25/1902,0,shecj101,Jimmy Sheckard,BRO,P,irwia101,Arthur Irwin,1,Call on Field
BOS190208260,08/26/1902,0,wallb101,Bobby Wallace,SLA,P,olous901,Silk O'Loughlin,4,Call on Field
PIT190208300,08/30/1902,0,wagnh101,Honus Wagner,PIT,P,odayh101,Hank O'Day,X,Call on Field
CHA190209041,09/04/1902,1,crigl101,Lou Criger,BOS,P,carub101,Bob Caruthers,8,Call on Field
SLA190209060,09/06/1902,0,stahc101,Chick Stahl,BOS,P,sherj901,Jack Sheridan,4,Call on Field
CHA190209072,09/07/1902,2,davig102,George Davis,CHA,P,carub101,Bob Caruthers,X,Call on Field
CHA190209072,09/07/1902,2,grifc101,Clark Griffith,CHA,M,carub101,Bob Caruthers,X,Call on Field
PHI190209082,09/08/1902,2,malob101,Billy Maloney,CIN,P,irwia101,Arthur Irwin,5,Fighting
PHI190209082,09/08/1902,2,hulsr101,Rudy Hulswitt,PHI,P,irwia101,Arthur Irwin,5,Fighting
PHI190209112,09/11/1902,2,brank101,Kitty Bransfield,PIT,P,latha101,Arlie Latham,1,Call on Field
PHI190209112,09/11/1902,2,conrw101,Wid Conroy,PIT,P,latha101,Arlie Latham,1,Call on Field
BOS190209180,09/18/1902,0,stahc101,Chick Stahl,BOS,P,connt901,Tommy Connolly,1,Call on Field
PHA190209200,09/20/1902,0,dougp102,Patsy Dougherty,BOS,P,connt901,Tommy Connolly,5,Call on Field
CHA190209211,09/21/1902,1,jonef102,Fielder Jones,CHA,P,carub101,Bob Caruthers,5,Call on Field
NY1190209220,09/22/1902,0,tennf102,Fred Tenney,BSN,P,latha101,Arlie Latham,4,Call on Field
NY1190209220,09/22/1902,0,pittt101,Togie Pittinger,BSN,P,latha101,Arlie Latham,4,Call on Field
SLA190209260,09/26/1902,0,burkj101,Jesse Burkett,SLA,P,sherj901,Jack Sheridan,7,Call on Field
SLA190209260,09/26/1902,0,greed103,Danny Green,CHA,P,carub101,Bob Caruthers,9,Call on Field
CIN190209280,09/28/1902,0,donlm101,Mike Donlin,CIN,P,odayh101,Hank O'Day,7,Call on Field
BRO190209300,09/30/1902,0,floot101,Tim Flood,BRO,P,irwia101,Arthur Irwin,3,Call on Field
BSN190210020,10/02/1902,0,bresr102,Roger Bresnahan,NY1,P,irwia101,Arthur Irwin,8,Call on Field
NY1190304200,04/20/1903,0,bresr102,Roger Bresnahan,NY1,P,moraa901,Augie Moran,9,Call on Field
BSN190304220,04/22/1903,0,tennf102,Fred Tenney,BSN,P,odayh101,Hank O'Day,X,Other
BRO190304230,04/23/1903,0,shecj101,Jimmy Sheckard,BRO,P,moraa901,Augie Moran,8,Call on Field
BRO190304230,04/23/1903,0,dooir101,Red Dooin,PHI,P,moraa901,Augie Moran,2,Call on Field
NY1190304240,04/24/1903,0,warnj103,Jack Warner,NY1,P,moraa901,Augie Moran,7,Call on Field
DET190304280,04/28/1903,0,carrc106,Charlie Carr,DET,P,sherj901,Jack Sheridan,6,Call on Field
NY1190304280,04/28/1903,0,tayld102,Dummy Taylor,NY1,P,odayh101,Hank O'Day,5,Balls and Strikes
BRO190305010,05/01/1903,0,floot101,Tim Flood,BRO,P,moraa901,Augie Moran,7,Call on Field
BRO190305010,05/01/1903,0,rittl101,Lew Ritter,BRO,P,moraa901,Augie Moran,8,Balls and Strikes
CLE190305010,05/01/1903,0,hempc101,Charlie Hemphill,SLA,P,olous901,Silk O'Loughlin,8,Call on Field
BSN190305020,05/02/1903,0,bresr102,Roger Bresnahan,NY1,P,moraa901,Augie Moran,3,Balls and Strikes
SLA190305020,05/02/1903,0,andej101,John Anderson,SLA,P,olous901,Silk O'Loughlin,7,Call on Field
SLA190305020,05/02/1903,0,heide101,Emmet Heidrick,SLA,P,olous901,Silk O'Loughlin,7,Call on Field
NYA190305060,05/06/1903,0,grifc101,Clark Griffith,NYA,P,connt901,Tommy Connolly,9,Other
NYA190305060,05/06/1903,0,oconj104,Jack O'Connor,NYA,P,connt901,Tommy Connolly,9,Harrassment
BRO190305070,05/07/1903,0,doylj103,Jack Doyle,BRO,P,odayh101,Hank O'Day,6,Call on Field
CLE190305070,05/07/1903,0,bradb102,Bill Bradley,CLE,P,olous901,Silk O'Loughlin,7,Call on Field
PIT190305070,05/07/1903,0,wagnh101,Honus Wagner,PIT,P,hollb103,Bug Holliday,5,Aggression
BRO190305080,05/08/1903,0,bonnf101,Frank Bonner,BSN,P,moraa901,Augie Moran,9,Other
BOS190305090,05/09/1903,0,tannj101,Jesse Tannehill,NYA,P,carub101,Bob Caruthers,5,Balls and Strikes
BOS190305090,05/09/1903,0,willj106,Jimmy Williams,NYA,P,carub101,Bob Caruthers,5,Balls and Strikes
PIT190305110,05/11/1903,0,beckj103,Jake Beckley,CIN,P,emslb101,Bob Emslie,5,Call on Field
BSN190305130,05/13/1903,0,barcg101,George Barclay,SLN,P,moraa901,Augie Moran,9,Cheating
NY1190305130,05/13/1903,0,kellj106,Joe Kelley,CIN,M,odayh101,Hank O'Day,9,Call on Field
PHI190305130,05/13/1903,0,keisb101,Bill Keister,PHI,P,johnj901,Jim Johnstone,7,Call on Field
BRO190305140,05/14/1903,0,doylj103,Jack Doyle,BRO,P,emslb101,Bob Emslie,7,Call on Field
BRO190305140,05/14/1903,0,chanf101,Frank Chance,CHN,P,emslb101,Bob Emslie,7,Call on Field
DET190305140,05/14/1903,0,smith110,Heinie Smith,DET,P,olous901,Silk O'Loughlin,2,Call on Field
DET190305150,05/15/1903,0,collj103,Jimmy Collins,BOS,P,olous901,Silk O'Loughlin,8,Balls and Strikes
NY1190305150,05/15/1903,0,peith101,Heinie Peitz,CIN,P,odayh101,Hank O'Day,4,Harrassment
BRO190305190,05/19/1903,0,kellj106,Joe Kelley,CIN,M,moraa901,Augie Moran,9,Balls and Strikes
NY1190305190,05/19/1903,0,mcgrj101,John McGraw,NY1,M,emslb101,Bob Emslie,8,Call on Field
NY1190305190,05/19/1903,0,leact101,Tommy Leach,PIT,P,emslb101,Bob Emslie,7,Call on Field
BRO190305200,05/20/1903,0,kellj106,Joe Kelley,CIN,M,moraa901,Augie Moran,1,Call on Field
BRO190305220,05/22/1903,0,rittl101,Lew Ritter,BRO,P,odayh101,Hank O'Day,7,Call on Field
BSN190305220,05/22/1903,0,kellj106,Joe Kelley,CIN,M,emslb101,Bob Emslie,5,Call on Field
DET190305230,05/23/1903,0,buelf101,Fritz Buelow,DET,P,olous901,Silk O'Loughlin,3,Call on Field
NY1190305230,05/23/1903,0,donop101,Patsy Donovan,SLN,M,johnj901,Jim Johnstone,7,Call on Field
PHI190305250,05/25/1903,0,everj102,Johnny Evers,CHN,P,moraa901,Augie Moran,7,Call on Field
DET190306010,06/01/1903,0,heide101,Emmet Heidrick,SLA,P,carub101,Bob Caruthers,7,Call on Field
DET190306010,06/01/1903,0,powej105,Jack Powell,SLA,P,carub101,Bob Caruthers,7,Call on Field
NYA190306010,06/01/1903,0,oconj104,Jack O'Connor,NYA,P,olous901,Silk O'Loughlin,3,Call on Field
PIT190306020,06/02/1903,0,bowef102,Frank Bowerman,NY1,P,johnj901,Jim Johnstone,5,Balls and Strikes
PIT190306030,06/03/1903,0,mathc102,Christy Mathewson,NY1,P,johnj901,Jim Johnstone,5,Call on Field
NYA190306050,06/05/1903,0,tannj101,Jesse Tannehill,NYA,P,olous901,Silk O'Loughlin,2,Balls and Strikes
CHN190306060,06/06/1903,0,mcgad102,Dan McGann,NY1,P,emslb101,Bob Emslie,3,Balls and Strikes
CHN190306060,06/06/1903,0,mcgrj101,John McGraw,NY1,M,emslb101,Bob Emslie,3,Balls and Strikes
SLN190306100,06/10/1903,0,bresr102,Roger Bresnahan,NY1,P,hollb103,Bug Holliday,1,Call on Field
